52.88,3.78,12.5
52.88,3.83,6.3
52.88,4,6.5
52.9,0.3,12.8
52.9,0.32,10.9
52.9,0.42,6.115
52.9,2.5,8.2
52.9,3.03,5.9
52.9,3.2,6.08
52.9,3.33,5
52.9,3.67,13.6
52.9,4.08,9.7
52.9023,4.0788,11.54
52.92,0.25,11.8
52.92,0.32,8.87
52.92,2.33,6.41
52.92,2.83,5.7
52.92,3,5
52.92,3.02,14.1
52.92,3.33,11.2
52.92,3.67,13.67
52.92,4,14.9
52.92,4.08,14.41
52.93,3.33,6.7
52.93,3.45,8.98
52.93,3.67,8
52.93,4.2,6
52.93,4.5,5.86
52.95,0.13,13.3
52.95,0.15,12.64
52.95,0.3,5.6
52.95,0.38,9.2825
52.95,0.42,10.24830736
52.95,2.33,10.29524242
52.95,3.33,9.574461431
52.95,3.4,10.6125
52.95,3.67,13.2
52.969,2.731,14.3
52.97,0.13,7.52
52.97,0.28,7.36
52.97,0.3,7.3
52.97,0.32,10.7
52.97,0.38,8.6
52.97,0.4,14.38
52.97,0.42,7.2
52.97,2.33,6.93
52.97,2.87,10.46
52.97,3.13,9.22
52.97,3.33,6.93
52.97,3.67,12.4
52.97,4.17,5.62
52.97,4.33,6.66
52.97,4.57,8.9
52.98,0.23,10.04
52.98,0.38,10.58
52.98,2.33,6.88
52.98,3,5.9
52.98,3.33,14.02
52.98,3.67,8.8
52.98,4.52,9.4
52.98,4.58,13.7
53,0.25,4.9
53,0.27,5.6
53,0.37,6
53,0.42,8.84
53,0.47,14.5
53,1.33,11.4
53,1.73,10.11907574
53,2.33,11.6
53,2.5,10.56
53,2.83,10.11907574
53,3,8.68
53,3.33,10.88
53,3.45,6.53
53,3.67,3.7
53,4,11.9
53,4.28,14.69
53,4.4,13.47
53,4.43,6.32
53,4.45,10.9
53,4.5,7.7
53,4.53,6.7
53.02,0.42,8.632258065
53.02,0.43,15.275
53.02,0.47,4
53.02,3.33,10.11907574
53.02,3.77,7.7
53.02,4.37,8.23
53.02,4.4,5
53.03,0.32,9.2
53.03,0.33,7
53.03,0.4,8.94
53.03,0.43,10.5
53.03,0.45,14.75
53.03,0.47,5.5
53.03,2.83,13.8
53.03,3.05,5
53.03,3.33,17.2
53.03,3.42,4.8
